#,project,commits per PR,changed files,churn,Comments (C) ,C  interval,merge workload,queue rank,desc length,contributor (Contrib.) experience,Contrib.  Integration,stack trace attached,activities,merge time
1,Yelp/mrjob,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,yiisoft/yii,NA,"0,01","0,08",0,NA,"58,87","39,29","0,08","0,47","0,78",NA,"0,23","0,19"
3,roots/sage,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,vanilla/vanilla,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,processing/p5.js,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,bokeh/bokeh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,serverless/serverless,NA,"0,07","0,59","0,11",NA,"12,03","3,14","22,99","18,88","41,22",NA,"0,19","0,77"
8,craftyjs/Crafty,NA,0,0,NA,NA,"1,36","97,78","0,08","0,1","0,58",NA,"0,03","0,06"
9,invoiceninja/invoiceninja,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,scikit-image/scikit-image,"0,01","0,01","0,02","0,04",NA,"22,49","76,86","0,3",0,"0,04","0,07","0,11","0,06"
11,dropwizard/dropwizard,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,androidannotations/androidannotations,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,aframevr/aframe,NA,NA,"0,02","0,44",NA,"0,39","97,11","0,68","0,52","0,15",NA,"0,32","0,37"
14,jashkenas/backbone,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,openhab/openhab,NA,"0,02","0,03","0,04",NA,"0,05","99,04","0,07","0,01","0,67",0,"0,06",0
16,bcit-ci/CodeIgniter,"0,05","0,09",NA,NA,NA,"95,25","1,48","0,43","0,49","1,77",NA,"0,44","0,01"
17,mizzy/serverspec,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,spinnaker/spinnaker,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,sensu/sensu,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,cython/cython,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,buildbot/buildbot,NA,"0,06","0,24","0,68",NA,"0,19","55,8","0,17","9,1","30,75","0,01",3,0
22,jsbin/jsbin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,siacs/Conversations,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,photonstorm/phaser,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,fchollet/keras,"0,05",1,"0,73",NA,NA,"0,06","97,48","0,11","0,04","0,34",NA,"0,05","0,12"
26,robolectric/robolectric,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,TelescopeJS/Telescope,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,andypetrella/spark-notebook,NA,0,"0,5",NA,"0,74","24,21","72,31","0,34","0,63","0,01",NA,"0,04","1,21"
29,apache/incubator-airflow,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,ReactiveX/RxJava,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,driftyco/ng-cordova,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,haraka/Haraka,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,isagalaev/highlight.js,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,bundler/bundler,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,humhub/humhub,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,square/picasso,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,Netflix/Hystrix,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,dropwizard/metrics,"0,04","1,3","0,03",NA,NA,"34,82","63,35","0,25",NA,NA,NA,NA,"0,21"
39,refinery/refinerycms,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,gollum/gollum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,jhipster/generator-jhipster,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,mapbox/mapbox-gl-js,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,request/request,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,alohaeditor/Aloha-Editor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,boto/boto,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,grails/grails-core,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,Pylons/pyramid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,mantl/mantl,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,ether/etherpad-lite,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,jashkenas/underscore,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,apereo/cas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52,kivy/kivy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53,elastic/logstash,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54,getsentry/sentry,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55,hapijs/hapi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,HabitRPG/habitica,NA,"0,09","0,01","0,79",NA,"13,66","0,49","0,15","37,14","47,59",NA,"0,06","0,01"
57,pyrocms/pyrocms,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
58,BabylonJS/Babylon.js,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
59,Leaflet/Leaflet,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60,laravel/laravel,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
61,zurb/foundation-sites,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
62,callemall/material-ui,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63,loomio/loomio,NA,"0,02",NA,"0,04",NA,"0,56","16,22","0,05","57,61","23,72","1,53",NA,"0,24"
64,scikit-learn/scikit-learn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65,frappe/erpnext,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
66,Theano/Theano,"0,13","0,01","0,01","0,44",NA,"13,62","79,67","0,04","2,76","3,23",0,"0,05","0,03"
67,puppetlabs/puppet,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
68,chef/chef,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
69,woocommerce/woocommerce,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
70,divio/django-cms,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71,scipy/scipy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72,matplotlib/matplotlib,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
73,sympy/sympy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74,twbs/bootstrap,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75,AnalyticalGraphicsInc/cesium,"0,01","0,02","0,24",0,NA,0,"98,49","0,35","0,82",0,NA,0,"0,07"
76,elastic/kibana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
77,mozilla/pdf.js,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
78,appcelerator/titanium_mobile,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
79,TryGhost/Ghost,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
80,fog/fog,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
81,ansible/ansible,NA,"0,16","0,05","0,12",0,"98,89","0,35","0,07","0,21","0,1","0,01",0,"0,03"
82,ipython/ipython,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
83,cakephp/cakephp,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
84,owncloud/core,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
85,rails/rails,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
86,mozilla-b2g/gaia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
87,saltstack/salt,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
